no		aptName		address_full	address_si (city)	address_gu	address_dong	address_detail	address_street	address_streetno									towers	units	contractor	developer	date_approval																					x	y	date_applied	year_approval	aptName_keys	gu_key	gu_trans	dong_key	dong_trans	streetname_key	streetname_trans	prompt_setup	result
15297	A10027289	센트라스	아파트		서울	성동구	하왕십리동	센트라스아파트 관리사무소 2층(123동)			233957961	233957966			임대+분양	위탁관리	계단식	개별난방	30	2529	포스코SK현대	왕십리뉴타운3구역주택재개발정비사업조합	2016-11-29 0:00:00	459952	177398	242191	1210	1148	171			2017-02-10 12:21:22	2022-09-12 4:59:09		위탁	단일계약	직영	36933.72	3716	의무	2017-08-09 10:46:44	Y	N	127.0284459	37.56633795	2017-02-10 12:21:22	2016	센트라스	성동	성곽의 동쪽	하왕십리	도성으로 부터 10리 떨어진 곳			센트라스 아파트는 서울시 성동구 하왕십리동 에, 그러니까 성곽의 동쪽에 위치한, 도성으로 부터 10리 떨어진 곳이자 에 자리하고 있다.	\"나 오늘 이사왔어!\" (Wow) 나도 그래~!! 우리가 원하던 바로 그 이상향이지? ᄒᄆᄂ아~~!!! 그런데 말이야... 이런 생각은 어떨까 싶기도 해.. 내 친구들 중에서 \'이사\'를 한 번이라도 해본 적 없다고 고백했더니 어떤 아이들이 이렇게 대답해줬단다.... 야 너네 진짜 부럽지 않냐?? 그렇구나........ 난 왜 한번밖에 안했을까??????? 이제부터라도 열심히 할 수 밖엔 도리없겠는데 ᅲᅮ 아무튼 좋았으면 됐잖아!!!! ^^[EOS]
6441	A13071302	래미안크레시티	아파트	서울특별시 동대문구 사가정로 65	서울	동대문구	전농동	래미안크레시티아파트	사가정로	65	222127096	222121191			임대+분양	위탁관리	혼합식	개별난방	31	2397	삼성물산(주)	전농7구역 주택재개발정비사업조합	2014-10-23 0:00:00	370093	188159	185895	963	977	457		http://www.raemiancrecity.com/		2022-09-12 6:24:47	91508705221	위탁	종합계약	위탁	24041400	2872	의무	2017-03-16 14:11:20	Y	N	127.0496883	37.57552441	2015-11-27 14:38:07	2014	래미안 크레시티	동대문	동대문 주변	전농	조선시대 임금이 농사를 짓던 논	사가정	문신 서거정이 살던 곳	래미안 크레시티 아파트는 서울시 동대문구 전농동 사가정로에, 그러니까 동대문 주변에 위치한, 조선시대 임금이 농사를 짓던 논이자 문신 서거정이 살던 곳에 자리하고 있다.	\"내가 죽으면 이곳의 땅은 모두 국가로 귀속되어 백성들에게 나눠주고 싶습니다\"라는 꿈이다. \'백성들이 행복하게 잘사는데 내가 일조했구나\'라고 생각하면 뿌듯할 것 같다고 했더니 그 말끝에서 미소와 함께 나지막히 한숨소리도 들렸다.. ▲동대문구 답십리 래미안전용실 내부 모습 ©[사진=정영미기자] ■아파트 주민들의 쉼터답십리에 거주하시나요? 저는 서울 강북지역과 경기도 북부 지역 등 수도권 곳곳으로 이사 다니며 살아왔어요. 지금은 성동구 옥수동 금호역 근처 단독주택(대지면적 약 100평) 한 채만 갖고서 아내 그리고 두 자녀랑 살아가요. 아이들이 커감에 따라 교육환경이나 생활여건 등이 좀 더 나은 환경 속에서 성장했으면 하기 때문이지요. 그래서 집 가까이서 학교 다닐 수 있도록 가까운 동네나 학군 좋기로 소문난 강남권 쪽으로 옮겨볼까 고민 중이에요. 그런데 요즘 부동산 경기 침체 탓인지 마땅치 않아요... 그래도 여기 오면 마음 편하지요. 예전엔 이웃 간에도 서로 인사 나누지 못했어요. 다 그렇게 살아 왔으니까요....
21141	A10025638	래미안길음센터피스	아파트	서울특별시 성북구 숭인로 50	서울	성북구	길음동	래미안길음센터피스	숭인로	50	29821500	29831300			임대+분양	위탁관리	타워형	개별난방	24	2352	삼성건설	길음2재정비촉진구역주택재개발정비사업조합	2019-11-29 0:00:00	312313	150592	209679	1632	671	49			2019-03-23 0:49:17	2022-09-12 9:28:21		위탁	종합계약	위탁	15643.08	2610	의무	2019-04-23 13:25:10	Y	N	127.0279707	37.60975797	2019-03-23 0:49:17	2019	래미안 길음 센터피스	성북	성곽의 북쪽	길음	물소리가 좋은 곳	숭인	정이 깊은 곳	래미안 길음 센터피스 아파트는 서울시 성북구 길음동 숭인로에, 그러니까 성곽의 북쪽에 위치한, 물소리가 좋은 곳이자 정이 깊은 곳에 자리하고 있다.	\"물소리를 들으며 책도 읽고 친구들이랑 놀기도 하며 공부할 수 있으면 얼마나 행복할까요?\" (출처 - 네이버 뉴스 라이브러리) 서울에서 가장 아름다운 성이라는 별칭으로 불리울 정도로 그 아름다움 때문에 많은이들의 사랑받던 이곳(성곽), 하지만 현재 그곳엔 사람들이 살지 않는다. 아니 정확히 말하자면 거주자가 없다고 한다! 바로 재건축때문이다. 물론 아직까지 공사중이라 그런것일지도 모르겠지만 그래도 왠지 씁쓸함만 남았다는 것..ᅲ_ᅮ 그래서 오늘 나는 내 마음 속의 이상향 \'길\' 을 찾으러 간다!! 1편부터 시작해보자~♬ 길음의 역사와 함께 한 롯데캐슬 클라시아 길동의 유래는 고려말 한양군 군내면 지역으로서 조선초기에 한성부 동부 두모방 관할지역이었다가 고종 32년 1895년 5월 26일 칙령 제98호에 의해 설치되어 이듬해 1896년 8월 4일로 경기도 고양부 소속 경성둔전 둔지방관청이 되면서 오늘날 서울특별시 강동구의 전신격인 경성부 동부의 일부였는데 1914년...
40132	A10024564	개포래미안포레스트	아파트	서울특별시 강남구 개포로 264	서울	강남구	개포동		개포로	264	220580890	220580891			임대+분양	위탁관리	혼합식	지역난방	31	2296	삼성물산(주)	개포시영아파트 주택재건축 정비사업조합	2020-09-28 0:00:00	422390	178215	244894	900	905	458		gpforest.aptner.com	2020-11-18 18:48:17	2022-09-11 1:46:51		위탁	종합계약	위탁	20774.78	3961	의무	2021-01-13 10:20:10	Y	N	127.054031	37.47848	2021-01-12 13:52:06	2020	개포 래미안 포레스트	강남	강의 남쪽	개포	갯벌이 있던 곳	개포	갯벌이 있던 곳	개포 래미안 포레스트 아파트는 서울시 강남구 개포동 개포로에, 그러니까 강의 남쪽에 위치한, 갯벌이 있던 곳에 자리하고 있다.	포레(foret)라는 단어가 숲을 의미하듯이 이곳은 푸른 나무와 풀들이 가득했고 강바람도 시원해서 산책하기 좋았습니다. 나에게 이런 삶을 살게 해 준 것입니다.하지만 지금 우리나라 부동산 시장에서 가장 핫 한 지역 중 하나인 강남3구 가운데서도 특히나 인기 높다는 이유만으로 그 가치까지 치솟아버린 게 현실이다. 그런데 왜 하필 \'래\'일까? 도대체 무슨 뜻인지 궁금해졌는데 마침 인터넷 검색 창에도 나와있지 않아서 직접 찾아봤더니 사전적 정의로 \"나무\"라고 되어있는 걸 보니 어쩐지 좀 어색합니다..ᄒ 아무튼 그래서 내 생각엔 아마 영어식 표현이라고 추측해본다. 즉 forest + land = faeryland 정도 될 듯한데 암튼 그런 느낌적인 느낌! (영어공부 합시다 여러분!! ᄏᄃ).... 자 그럼 본격적 이야기 시작~ 먼저 지도부터 살펴보면 서울지하철 3호선 대청역 5번 출구 바로 앞에 입지한다.
18481	A10026682	위례포레샤인아파트	아파트	서울특별시 송파구 위례순환로 477	서울	송파구	장지동	위례포레샤인아파트	위례순환로	477	24013352	24013360			임대	위탁관리	혼합식	지역난방	23	2200	계룡건설	서울주택도시공사	2017-09-28 0:00:00	261685	121619	260036	1758	442	0			2017-12-05 6:49:02	2022-09-02 1:50:18		위탁	종합계약	위탁	17996.11	2334	임대	2018-04-04 13:51:20	Y	N	127.1341027	37.47653346	2017-12-05 6:49:02	2017	위례 포레샤인	송파	소나무 언덕	장지	형세가 긴 마을	위례순환	위례순환로 주변	위례 포레샤인 아파트는 서울시 송파구 장지동 위례순환로에, 그러니까 소나무 언덕에 위치한, 형세가 긴 마을이자 위례순환로 주변에 자리하고 있다.	\"꿈꾸던 집에서 살게 됐어요\" 경기도 성남시와 서울시의 경계를 이루고있는 탄천 끝자락 작은 동산이 하나있는데 그곳은 바로 \'소나무언덕\'이라 불리운다. 이곳엔 약 300~400년된 아름드리나무들이 울창하며 그중 가장 큰 나무들만 해도 족히 100m 이상 되어보인다. 이런 숲속 오솔길 끝에 위례의 마지막 남은 노른자땅이라고 할 수 있으며 강남권 유일의 자연친화적 신도시라고 일컬어지기도 하였지만 최근들어 환경파괴 논란으로 시끌시끌했던 곳이기도 하다. 하지만 이제 그런 시끄러운 일도 다 과거지사일 뿐이다. 현재 송파구의 랜드마크라 불리우면서 많은이들의 관심거리 중 한곳이기 때문인데 오늘 소개할 주인공 또한 그러하여 더욱 주목받는다. ▶서울·수도권의 대표적인 친환경 주거단지로서 각광 받았으나... 지난 2009년도부터 입주하기 시작해 올해 10월말까지 총 4개 단지 2천여세대 규모로써 조성되었기에 아직까진 다소 생소함이 느껴지는 것 역시 사실이나 앞으론 더 많이 알려질것 같아 기대된다.
40239	A10023926	롯데캐슬클라시아	아파트		서울	성북구	길음동				29898490	29898493			임대+분양	위탁관리	혼합식	개별난방	19	2029	롯데건설	길음1재정비촉진구역주택재개발정비사업조합	2022-01-27 0:00:00	288555	139561	186817	1141	810	78			2022-02-23 10:20:12	2022-09-12 9:29:41	92229399901	위탁	종합계약	위탁	13250.64	2451	의무	2022-02-25 9:12:23	Y	N	127.0252576	37.6089258	2022-02-24 13:31:30	2022	롯데캐슬 클라시아	성북	성곽의 북쪽	길음	물소리가 좋은 곳			롯데캐슬 클라시아 아파트는 서울시 성북구 길음동 에, 그러니까 성곽의 북쪽에 위치한, 물소리가 좋은 곳이자 에 자리하고 있다.	\"물소리와 새 소리를 들으며 아침이면 눈 비비며 일어나고 밤엔 별빛 쏟아지도록 책 읽으며 살 수있으면 얼마나 행복할까?\" (기사 내용 중) 나도 이런 생각으로 이곳에서 살아보았는데... 정말 꿈 같던 일들이 현실화 되었습니다! 지금부터 그 이야기들을 소개하겠습니당~ ^^* 오늘 포스팅할 현장위치입니다 ~^^ 바로 여기에요~~!! 롯데 캐슬클라쎄 서울특별시 중구 신당동 369-80 1층 101호 - 102호가 아니라 주소상 \'길\'이라고 표기되어있는 것처럼 실제로 길이 너무 협소해서 차량 진입 불가합니다 ᅲᅮ 그래서 저흰 사다리차 를 이용했답니다 ᄒᄒ;; 공사내용 및 시공 사진 입니다 ~~!!! [공사내역] * 도배 / 바닥재(LG 장판 2T + 동화마루 화이트오크 강화 마루), 주방가구/붙박이장 가구 설치 외욕실 타일 교체 현관타일 욕실 방수 작업 등 전체 리모델링 진행 하였구요 ~~~ <현관> 현관은 기존 신발장의 철거 후 재시공하여 공간 확장 효과 와 수납공간 확보 했어요!!!
40190	A10024216	디에이치 자이 개포	아파트	서울특별시 강남구 영동대로 22	서울	강남구	일원동		영동대로	22	24451996	24451969			임대+분양	위탁관리	계단식	지역난방	15	1996	현대건설 현대엔지니어링 GS건설	현대건설개포컨소시엄	2021-07-30 0:00:00	364700	164320	212457	306	1198	486			2021-08-13 10:56:16	2022-09-11 3:09:20		위탁	종합계약	위탁	18610.13	3113	의무	2021-08-13 17:03:41	Y	N	127.075083	37.490791	2021-08-13 15:53:01	2021	디에이치 자이 개포	강남	강의 남쪽	일원	편안한 마을	영동	영등포 동쪽 지역	디에이치 자이 개포 아파트는 서울시 강남구 일원동 영동대로에, 그러니까 강의 남쪽에 위치한, 편안한 마을이자 영등포 동쪽 지역에 자리하고 있다.	: \"나 내일은 강남으로 출근해서 회사 다니고 싶어\" 강남역에서 3호선 지하철(분당)을 타고 양재시민의숲 역까지 가서 2호선이 연결된 선릉-삼성중앙역 쪽 출구를 이용하면 된다! (2번출구로 나오면 도보 1분거리이다). 그리고 그 다음엔 7호선인 청담역이 나온다! 그래서 나도 이제부터 쭉 서울 생활권이라고 생각하기로 했음!!ᄒ_ᅲ... 사실상 내가 살기에 가장 적절해보이기도 하기 때문이지..^^; 그리고 나의 로망 중 하나였던 집 근처 한강공원 산책하기♡ 날씨 좋으면 자주 가야지~~~!!!! 그런데 진짜 저 말 그대로 되었어요!!! 비온 날 빼고는 매일매일 공원으로 운동 갔는데 어제 비오니까 오늘 한 번 나가봤더니 우리집 앞 산책로 흙먼지 쩔어서 못 걷겠더라구요 ᅮ^ᅳ.... 아 여기 사시려면 정말 부지런해야 할 것 같아요 ᄏᄉᄐᄃ...흙먼지구름이랑 미세먼지랑 황사바람 다 맞으면서 걸어다녀야 함..;;;;
18401	A10026748	옥수파크힐스아파트	아파트	서울특별시 성동구 매봉길 50	서울	성동구	옥수동	관리사무소	매봉길	50	222910911	222810911			임대+분양	위탁관리	계단식	개별난방	25	1976	대림산업(주)	옥수13구역재개발	2016-11-09 0:00:00	287808	135264	181723	1131	747	98			2017-10-26 20:52:48	2022-09-12 5:33:04		위탁	단일계약	위탁	16938.5	2473	의무	2018-04-11 11:47:10	Y	N	127.012737	37.54781882	2017-10-26 20:52:48	2016	옥수 파크힐스	성동	성곽의 동쪽	옥수	우물이 있던 곳	매봉	매 사냥을 했던 곳	옥수 파크힐스 아파트는 서울시 성동구 옥수동 매봉길에, 그러니까 성곽의 동쪽에 위치한, 우물이 있던 곳이자 매 사냥을 했던 곳에 자리하고 있다.	매봉산\' - 서울 한복판에서 만난 낯선 이웃들 이야기가 출간되었습니다! \"아파트라는 공간은 우리에게 무엇일까?\"라고 묻는다면 사람마다 다르게 답할 것이다. 도시화가 진행된 이후부터 현재까지 많은 변화 속에서도 여전히 그 모습 그대로 유지하며 존재해오기도 하였지만 또 다른 한편으로 보면 끊임없이 새로운 형태와 기능들이 생겨나면서 현대인들에겐 편리함만을 제공했기 때문이기도 하다. 그렇다면 과연 인간다운 삶이란 어떤 의미인가 생각해본다. 나 자신만의 행복이나 만족보다는 타인 또는 사회와의 관계성 안에서 이루어지지 않을까 싶은데 이러한 측면에선 아마도 서로 간의 소통이 가장 중요한 요소이지 아닐까 한다. 그런 점에서 본다면 최근 들어 공동체 생활 자체나 개인적인 성향보다 오히려 공동주택(이하 단지) 내 커뮤니티 형성 및 활성화 등 다양해지거나 세분화 되어 가는 추세임에도 불구하고 아직까진 부족하기 그지없음 또한 사실이라 할 수 있겠다. 이에 대해 작가 역시 다음 작품 <서울역> 에서 언급한다. 서울역 저자 박완서 출판 문학동네 발매 2012.10.20.
21002	A10025675	래미안블레스티지	아파트	서울특별시 강남구 선릉로 8	서울	강남구	개포동	래미안블레스티지 생활지원센타	선릉로	8	220581970	220581972			임대+분양	위탁관리	계단식	지역난방	23	1957	삼성물산	개포주공2단지주택재건축정비사업조합	2019-02-26 0:00:00	362895	160922	215907	661	780	511		rmabt1957.com	2019-03-09 5:56:52	2022-09-11 1:45:48		위탁	종합계약	위탁	16155.05	3153	의무	2019-03-14 11:33:30	Y	N	127.0641506	37.48004896	2019-03-09 5:56:52	2019	래미안 블레스티지	강남	강의 남쪽	개포	갯벌이 있던 곳	선릉	성종과 정현왕후의 능인 선릉을 지나는 길	래미안 블레스티지 아파트는 서울시 강남구 개포동 선릉로에, 그러니까 강의 남쪽에 위치한, 갯벌이 있던 곳이자 성종과 정현왕후의 능인 선릉을 지나는 길에 자리하고 있다.	\"강남에서 이런 풍경 보기 힘든데....\" 지난 9월 초 방문했을 때 나에게 한 말이다. \'이런\'이라고 표현하긴 했지만 실제로 본 모습은 그 이상이라 할만 하다. 아니 서울 어디서도 이렇게 아름다운 전원풍경을 바라보며 생활할 수 없다는 생각까지 들었으니 더이상 설명하기 쉽지 않겠다 싶어 하고싶어도 못한다는 의미를 담아 그냥 쓰기로 한다. 사실 이곳도 한때 개발붐으로 인해 주민들이 쫓겨나다시피 이사가면서 흉물스럽게 변하기도 했었는데 다시 지금처럼 변모되니 얼마나 다행인가! (개포동의 과거 사진 출처 @freepic_studio) 강남 한복판 고층아파트 숲 속 작은 공원 같았습니다... 고급스러운 실내 인테리어와 세련된 디자인은 물론 다양한 편의시설 또한 갖추어진 새로운 라이프 스타일 공간입니다. 요즘 한창 유행중인데 내 주변에도 공사중이거나 입주 예정 중 인 집들이 꽤 많아 보인다. 그렇다면 이제부터 본격적으로 집 구경 가보자~~~ ^^
19961	A10026370	e편한세상신촌아파트	아파트	서울특별시 서대문구 북아현로1길 17	서울	서대문구	북아현동		북아현로1길	17	23139072	23139075			임대+분양	위탁관리	혼합식	개별난방	22	1910	대림산업	북아현1-3 재개발 조합	2018-05-03 0:00:00	306274	136385	185847	823	1043	44			2018-05-09 2:00:35	2022-09-12 13:58:28	91714598221	위탁	단일계약	위탁	68659.9	2286	의무	2017-03-28 0:00:00	Y	N	126.9549743	37.55829857	2020-02-18 9:00:00	2018	e편한세상 신촌	서대문	서대문 주변	북아현	고개가 있는 곳	북아현	고개가 있는 곳	e편한세상 신촌 아파트는 서울시 서대문구 북아현동 북아현로1길에, 그러니까 서대문 주변에 위치한, 고개가 있는 곳에 자리하고 있다.	『아파트』(김혜진 지음)을 읽었는데 그 책은 다음 기회에 소개하기로 하겠다... 나도 한 때 서울에서 살았던 적이 있어서 그런지 몰라도 \'북성\'이란 말만 들어도 가슴 설렌다는 느낌이다..ᄒ 내 고향이기도 해서 더 그런지도 모르겠지만....^^;; 오늘 포스팅할 내용은 바로 위 사진 속 건물 3층으로 올라가면 만날 수 있는 <서대문구립도서관> 이야기 이다~! 도서관이라고 해봐야 동네 작은 규모일 거라고 생각했다면 오산~~!! 실제로 가보니 정말 크더라능 ᄋ_ᅲ (사진 왼쪽 아래 귀퉁이 보이나요? 저긴 어린이 열람실 입구랍니다 ^^;) 그리고 또 하나 좋다고 느낀 점!!! 엘리베이터 앞엔 이렇게 손 소독제까지 비치되어있더라는 것!!!!! 이런 세심함 너무 마음에 든다 ^_^b 역시나 코로나19 때문인지 토요일인데도 불구하고 사람들이 많지 않아서 조용조용히 독서삼매경 중이신 분들 모습입니다 :) 우리 집 근처에도 구립 도서관이 몇 군데 생겼으면 할 정도인데 아직 없네요 ᅮ^ᅳ 아쉽아쉽 ~~
21641	A10025415	래미안솔베뉴	아파트	서울특별시 강동구 양재대로 1650	서울	강동구	명일동		양재대로	1650	269534980	269534981			임대+분양	위탁관리	계단식	개별난방	13	1900	삼성물산(주)	삼익그린맨션아파트 주택재건축정비사업조합	2019-06-24 0:00:00	256092	119769	167142	1443	445	12		rmasol.xisnd.co.kr	2019-07-18 7:34:51	2022-09-02 2:22:37		위탁	종합계약	위탁	0	0	의무	2019-06-24 0:00:00	Y	N	127.1446217	37.55294902	2019-07-18 7:34:51	2019	래미안 솔베뉴	강동	강의 동쪽	명일	고려시대 숙박소를 제공하던 곳	양재	양재동을 지나는 길	래미안 솔베뉴 아파트는 서울시 강동구 명일동 양재대로에, 그러니까 강의 동쪽에 위치한, 고려시대 숙박소를 제공하던 곳이자 양재동을 지나는 길에 자리하고 있다.	소설집 『우리가 사랑할 수 있을까』(창비)와 장편소설『그 남자의 책 198쪽』 (문학동네), 그리고 에세이 <아파트> 등 세 편의 글들이 실렸습니다. \'솔브란\'은 조선시대의 관리들이나 지방 수령들의 숙소였는데 지금으로 치면 호텔 같았다고 합니다. 그러니 그 시절에도 사람 살기 좋다는 말을 들었겠지요? 그런데 왜 하필 그곳에서 아내와의 첫 만남 이야기부터 시작할까요? \"제 기억 속엔 제 인생 최초의 사건 하나만 남아있어요\"라고 작가 오정희씨는 고백합니다. 남편과의 결혼 생활 중 어느 날 아침 눈 뜨자 마자 그녀 앞에 나타난 건 바로 낡아 빠진 소파 위에 누워있는 한 남자! 그것도 머리맡 탁자위에 놓인 메모지 두 장... 거기서 부터입니다. 이미 다른 여자에게 마음 주고서 나한테 온 것 아니냐고 분노했다가 이내 자신 안에 내재되어 있을지도 모를 또다른 내 모습일지 모른다고 생각해보기도 하면서 결국은 모든 걸 받아들이기로 결심하기까지 걸린 시간 얼마일까요? 그건 아마도 그날 이후였을 겁니다.
3621	A13113007	신내 데시앙포레	아파트	서울특별시 중랑구 신내역로 165	서울	중랑구	신내동	신내우디안아파트	신내역로	165	24968341	24968343	435	FILE_000000000077128	임대+분양	위탁관리	혼합식	개별난방	23	1896	(주)태영건설	서울특별시 SH공사	2013-12-11 0:00:00	267015	133452	266279	1034	610	252				2022-09-12 8:28:50		위탁	종합계약	위탁		2202	의무	2015-03-03 10:13:33	Y	N	127.1095902	37.6166178	2014-09-02 15:05:38	2013	신내 데시앙 포레	중랑	들판을 가로지르는 물가	신내	새로이 성립된 마을	신내	새로이 성립된 마을	신내 데시앙 포레 아파트는 서울시 중랑구 신내동 신내역로에, 그러니까 들판을 가로지르는 물가에 위치한, 새로이 성립된 마을에 자리하고 있다.	소설집 \'풀\' 을 읽었으면 한다. 풀은 도시에서 살아가기 위해 자연친화적인 삶으로부터 이탈하려는 한 가족의 이야기이다. 그들에게 대도시라는 공간이란 어떤 의미인가? 서울살이가 녹록치 않다는 것을 알기 때문일까? 나도 모르게 자꾸만 눈굽으로 땅거죽이며 하늘 거죽들이 흘러가버리면 어쩌나 하면서 걱정되어 안절부절 못해지는 건 어쩔 수 없지만 말이다 그러나 우리 모두 알다시피 이런 마음에도 불구하도 어디까지나 개인적이기보담 집단성 속에선 그런대로 잘 살아져 가곤 하지않겠는가 라는 생각속엔 그래도 좀 안심할 수가 있기도 하다 물론 아주 사소하기 이를데없는 일에서부터 큰 문제가 생길때마다 갈팡질팡 어찌해야할지 몰라 허둥대기 일쑤긴 하지만...... (중략) \"엄마!\" / 엄마라고 불렀습니다(p12-13). ----------------------- 정아씨와 어머니 사이에 태어난 아이였어요. 그런데 아버지께서 돈 욕심때문인지 어느날 갑자기 애 딸린 홀아비랑 바람이나서 집 나가 버렸지요. 난 어린 나이부터 혼자 살아야 했구요....
40018	A10025112	고덕롯데캐슬베네루체	아파트	서울특별시 강동구 상암로79길 88	서울	강동구	상일동		상암로79길	88	269593940	269593941			임대+분양	위탁관리	계단식	지역난방	20	1859	롯데건설	고덕7단지 주택재건축정비사업조합	2019-12-30 0:00:00	324728	148201	196965	461	1340	58			2020-01-14 8:20:16	2022-09-02 2:30:44	91921383131	위탁	종합계약	위탁	14455.16	2392	의무	2020-01-14 8:20:16	Y	N	127.167612	37.549416	2020-01-14 8:20:16	2019	고덕 롯데캐슬 베네루체	강동	강의 동쪽	상일	게 있는 개울의 위쪽	상암	강동구 번화가의 중심	고덕 롯데캐슬 베네루체 아파트는 서울시 강동구 상일동 상암로79길에, 그러니까 강의 동쪽에 위치한, 게 있는 개울의 위쪽이자 강동구 번화가의 중심에 자리하고 있다.	<개울>을 읽었는데 그 책은 다음 기회가 되면 소개하기로 하겠다. 나에게도 이런 행운이! 고덕동에서 살게 될 줄 누가 알았겠는가? 서울 서쪽 끝 동네였던 강일동이 강동구의 중심지가 된 것처럼 내 인생에도 그런 일들이 일어나기 시작했다는 뜻이다. 물론 전국의 모든 사람들 중 한 명이 아니라 전국민적으로 말한다면 그렇지 않을까 싶지만....... 어쨌든 내게는 그렇게 느껴졌다. 그리고 무엇보다 중요한 건 \'강동구\'라는 지역 자체와 거기에 속한 여러 가지 요소들의 변화상(특히 부동산) 때문이기도 했으리라 생각한다. 어떤 면에선 그게 더 컸을지도 모르겠다는 느낌적인 느낌~^^; 어쨌거나 이제부터 나의 이야기 속엔 꼭 등장할 예정이니 기대하시랏~~!! ᄒᄋ 오늘 포스팅 제목 그대로 우리 집 바로 앞 개천 건너편의 풍경인데 사진 안 찍고는 못 배긴다니까유??? ^^* 지난 추석 연휴 때 부모님 댁 가면서 본 모습이라네욤.. (사실 저때만 해도 그냥저냥 시골집 분위기 정도 였는디
